pattern_id,main_mask,degree,exp_list,exp_mons
125,29,4,"[m24,m29]",x3x4 + x0x2x3x4
126,29,4,"[m21,m29]",x0x2x4 + x0x2x3x4
127,29,4,"[m20,m21,m28,m29]",x2x4 + x0x2x4 + x2x3x4 + x0x2x3x4
128,29,4,"[m20,m29]",x2x4 + x0x2x3x4
129,29,4,"[m17,m21,m25,m29]",x0x4 + x0x2x4 + x0x3x4 + x0x2x3x4
130,29,4,"[m17,m29]",x0x4 + x0x2x3x4
131,29,4,"[m16,m17,m20,m21,m24,m25,m28,m29]",x4 + x0x4 + x2x4 + x0x2x4 + x3x4 + x0x3x4 + x2x3x4 + x0x2x3x4
132,29,4,"[m16,m17,m28,m29]",x4 + x0x4 + x2x3x4 + x0x2x3x4
133,29,4,"[m16,m21,m24,m29]",x4 + x0x2x4 + x3x4 + x0x2x3x4
134,29,4,"[m16,m29]",x4 + x0x2x3x4
135,29,4,"[m16,m20,m25,m29]",x4 + x2x4 + x0x3x4 + x0x2x3x4
136,29,4,"[m13,m29]",x0x2x3 + x0x2x3x4
137,29,4,"[m12,m13,m28,m29]",x2x3 + x0x2x3 + x2x3x4 + x0x2x3x4
138,29,4,"[m12,m29]",x2x3 + x0x2x3x4
139,29,4,"[m9,m13,m25,m29]",x0x3 + x0x2x3 + x0x3x4 + x0x2x3x4
140,29,4,"[m9,m29]",x0x3 + x0x2x3x4
141,29,4,"[m8,m9,m12,m13,m24,m25,m28,m29]",x3 + x0x3 + x2x3 + x0x2x3 + x3x4 + x0x3x4 + x2x3x4 + x0x2x3x4
142,29,4,"[m8,m9,m28,m29]",x3 + x0x3 + x2x3x4 + x0x2x3x4
143,29,4,"[m8,m13,m24,m29]",x3 + x0x2x3 + x3x4 + x0x2x3x4
144,29,4,"[m8,m29]",x3 + x0x2x3x4
145,29,4,"[m8,m12,m25,m29]",x3 + x2x3 + x0x3x4 + x0x2x3x4
146,29,4,"[m5,m13,m21,m29]",x0x2 + x0x2x3 + x0x2x4 + x0x2x3x4
147,29,4,"[m5,m29]",x0x2 + x0x2x3x4
148,29,4,"[m4,m5,m12,m13,m20,m21,m28,m29]",x2 + x0x2 + x2x3 + x0x2x3 + x2x4 + x0x2x4 + x2x3x4 + x0x2x3x4
149,29,4,"[m4,m5,m28,m29]",x2 + x0x2 + x2x3x4 + x0x2x3x4
150,29,4,"[m4,m13,m20,m29]",x2 + x0x2x3 + x2x4 + x0x2x3x4
151,29,4,"[m4,m29]",x2 + x0x2x3x4
152,29,4,"[m4,m12,m21,m29]",x2 + x2x3 + x0x2x4 + x0x2x3x4
153,29,4,"[m1,m5,m9,m13,m17,m21,m25,m29]",x0 + x0x2 + x0x3 + x0x2x3 + x0x4 + x0x2x4 + x0x3x4 + x0x2x3x4
154,29,4,"[m1,m5,m25,m29]",x0 + x0x2 + x0x3x4 + x0x2x3x4
155,29,4,"[m1,m13,m17,m29]",x0 + x0x2x3 + x0x4 + x0x2x3x4
156,29,4,"[m1,m29]",x0 + x0x2x3x4
157,29,4,"[m1,m9,m21,m29]",x0 + x0x3 + x0x2x4 + x0x2x3x4
158,29,4,"[m0,m1,m4,m5,m8,m9,m12,m13,m16,m17,m20,m21,m24,m25,m28,m29]",1 + x0 + x2 + x0x2 + x3 + x0x3 + x2x3 + x0x2x3 + x4 + x0x4 + x2x4 + x0x2x4 + x3x4 + x0x3x4 + x2x3x4 + x0x2x3x4
159,29,4,"[m0,m1,m4,m5,m24,m25,m28,m29]",1 + x0 + x2 + x0x2 + x3x4 + x0x3x4 + x2x3x4 + x0x2x3x4
160,29,4,"[m0,m1,m12,m13,m16,m17,m28,m29]",1 + x0 + x2x3 + x0x2x3 + x4 + x0x4 + x2x3x4 + x0x2x3x4
161,29,4,"[m0,m1,m28,m29]",1 + x0 + x2x3x4 + x0x2x3x4
